web-scraper-order,web-scraper-start-url,url,url-href,content
"1520022858-2603","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2014/05/23/movies/old-and-new-cast-join-in-x-men-days-of-future-past.html","http://www.nytimes.com/2014/05/23/movies/old-and-new-cast-join-in-x-men-days-of-future-past.html","The only hope is to send someone back in time to prevent the things from being invented, a journey that only Wolverine (Hugh Jackman) is strong enough to undertake. Assisted by Kitty Pryde (Ellen Page), he zips into the past and wakes up in a strange bed with a pretty companion beside him and Roberta Flack on the radio."
"1520023497-3801","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2014/08/08/movies/no-cameras-allowed-a-documentary-by-james-marcus-haney.html","http://www.nytimes.com/2014/08/08/movies/no-cameras-allowed-a-documentary-by-james-marcus-haney.html","It begins with breaking into the 2010 Coachella festival. A penniless Mr. Haney and a friend jump a fence and make it backstage before being ejected. But Mr. Haney gets great shots. Undaunted, he scores a ticket to Bonnaroo, then crashes the Ultra Festival in Miami. A homemade Bonnaroo DVD wins him a spot documenting a Mumford & Sons tour, and Rolling Stone runs one of his photos. An HBO assignment lets him take a side trip to the Glastonbury festival. Ultimately, his path takes him to Austin City Limits and the Grammys."
"1520023987-4781","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2014/09/26/movies/believe-me-a-comedic-look-at-religious-fund-raising.html","http://www.nytimes.com/2014/09/26/movies/believe-me-a-comedic-look-at-religious-fund-raising.html","A smart, sly comedy about what its director, Will Bakke, calls “the power of platforms,” “Believe Me” parodies the machinery of faith-based fund-raising with its heart on its sleeve and its jokes above the belt."
"1520022500-1980","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2014/04/11/movies/nicolas-cage-stars-in-joe.html","http://www.nytimes.com/2014/04/11/movies/nicolas-cage-stars-in-joe.html","From the start, “Joe” reads as a quasi-biblical parable in which Joe’s good and bad instincts are at war. It leads to a grisly but ultimately anticlimactic showdown in which Joe goes after Willie and Wade, who have joined forces in a kidnapping scheme."
"1520024291-5436","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2014/10/27/movies/happy-new-year-a-farah-khan-extravaganza.html","http://www.nytimes.com/2014/10/27/movies/happy-new-year-a-farah-khan-extravaganza.html","Shah Rukh Khan’s seasoned authority is a steady anchor amid the frantic contrivances, while nationalistic biases (a North Korean team is the principal rival) are somewhat offset by a playful attitude toward gender: Charlie (Mr. Khan) calls his troupe Charlie’s Angels. And if you’ve ever harbored a desire to see Bollywood’s reigning king rehearsing in a tutu, “Happy New Year” is cause for celebration."
"1520023776-4340","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2014/09/12/movies/alumbrones-a-documentary-looks-at-cuban-artists.html","http://www.nytimes.com/2014/09/12/movies/alumbrones-a-documentary-looks-at-cuban-artists.html","The film makes an odd, quick detour to Boston, where we’re told that artists need patrons and collectors, but we’re not introduced to any. The press notes solve this mystery: Most of the artists in this movie — who themselves aren’t named until the very end — are represented by Michelle Wojcik’s Galería Cubana in Boston, which Mr. Donnelly happened into once and which clearly shaped this film’s vision of Cuban art. RACHEL SALTZ"
"1520022400-1798","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2014/04/04/movies/10-rules-for-sleeping-around-combines-nudity-and-jokes.html","http://www.nytimes.com/2014/04/04/movies/10-rules-for-sleeping-around-combines-nudity-and-jokes.html","A young actor named Reid Ewing, who might be familiar from “Modern Family,” spends much of the movie running around naked in service to jokes that aren’t funny, and Michael McKean was somehow talked into a degrading small role. Worst of all, the 10 rules of the title are nothing you couldn’t have figured out on your own. The movie doesn’t work even as an instructional video."
"1520022823-2552","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2014/05/16/movies/chinese-puzzle-a-comedy-directed-by-cedric-klapisch.html","http://www.nytimes.com/2014/05/16/movies/chinese-puzzle-a-comedy-directed-by-cedric-klapisch.html","The European holdovers from the trilogy’s earlier installments include Xavier’s English wife, Wendy (Kelly Reilly), who was his roommate in “L’Auberge Espagnole” and a love interest in “Russian Dolls.” In “Chinese Puzzle,” Wendy divorces Xavier to marry John (Peter Hermann), a wealthy American, and settle on Central Park South."
"1520021862-713","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2014/01/17/movies/indigo-children-directed-by-eric-chaney.html","http://www.nytimes.com/2014/01/17/movies/indigo-children-directed-by-eric-chaney.html","1 hour 15 minutes; not rated"
"1520023635-4069","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2014/08/22/movies/love-is-strange-stars-john-lithgow-and-alfred-molina.html","http://www.nytimes.com/2014/08/22/movies/love-is-strange-stars-john-lithgow-and-alfred-molina.html","Ben’s situation is more complicated and is really at the heart of this sensitive, acutely observed, resolutely nonmelodramatic film. Though he tries to be courteous and considerate, his presence starts to annoy Joey, who sleeps on the bunk below, and Kate, a novelist whose daily writing routine is disrupted by Ben’s chatty, needy presence."
"1520023594-3987","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2014/08/22/movies/donnie-yen-fights-them-all-in-daniel-lees-14-blades.html","http://www.nytimes.com/2014/08/22/movies/donnie-yen-fights-them-all-in-daniel-lees-14-blades.html","A Chinese swords-and-martial-arts adventure that takes place during the Ming dynasty, “14 Blades” reframes the wuxia epic as another genre peopled by antiheroes with personal codes of honor: the spaghetti western. It’s not a bad fit."
"1520022115-1252","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2014/02/21/movies/barefoot-with-evan-rachel-wood-is-a-remake-of-barfuss.html","http://www.nytimes.com/2014/02/21/movies/barefoot-with-evan-rachel-wood-is-a-remake-of-barfuss.html","Directed by Andrew Fleming (“Hamlet 2,” “Dick”), from a screenplay by Stephen Zotnowski, the movie acts like screwball comedy, but there are no laughs as Daisy and Jay’s connection lurches toward implausible romance."
"1520022024-1086","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2014/02/07/movies/the-lego-movie-toys-with-thinking-outside-the-manual.html","http://www.nytimes.com/2014/02/07/movies/the-lego-movie-toys-with-thinking-outside-the-manual.html","“The Lego Movie” captures both the delight and the frustration of this kind of play. The visual environment created by the filmmakers (Phil Lord and Christopher Miller of “21 Jump Street” wrote and directed; the animation is by Animal Logic) hums with wit and imagination. Although the images are computer generated, they move, for the most part, according to the pleasingly herky-jerky logic of hand-guided stop-motion. You are always aware that you are looking at a world of interlocking plastic blocks, an illusion enhanced in the 3-D version of the film. Smoke, sand and water are all made out of Lego, as are high-rise cities, pirate ships, mountains and a zone of free-form fantasy called Cloud Cuckoo Land."
"1520021743-435","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2013/12/20/movies/walking-with-dinosaurs-about-a-herd-on-the-move.html","http://www.nytimes.com/2013/12/20/movies/walking-with-dinosaurs-about-a-herd-on-the-move.html","John Leguizamo provides the voice of the bird, Alex, and pairs nicely with Justin Long, who is the voice of Patchi, the tale’s main character. Patchi is a pachyrhinosaurus who starts out as the runt of the litter but is destined for big things. He has a crush on a female named Juniper (Tiya Sircar), and their slowly blossoming romance is essentially a reworking of the one between Simba and Nala, those animated lions."
"1520023689-4168","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2014/08/29/movies/the-notebook-le-grand-cahier-from-janos-szasz.html","http://www.nytimes.com/2014/08/29/movies/the-notebook-le-grand-cahier-from-janos-szasz.html","“The Notebook (Le Grand Cahier)” — the parenthetical French title may be there to distinguish it from that movie with Ryan Gosling and Rachel McAdams — falls somewhere in the middle. Directed by Janos Szasz, it is based on a widely admired novel, written in French, by the Hungarian-born writer Agota Kristof. The book, which has been previously adapted for the stage, and which counts among its fans the Slovenian philosopher Slavoj Zizek, is a flinty parable of brutality and resilience, in which two nameless twins wait out the Second World War at their wicked-witch-like grandma’s house in rural Hungary. The film is mostly faithful to the details and the mood of the book, but it is also muddled and sensationalistic, and superficially shocking rather than profoundly provocative."
"1520023846-4504","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2014/09/13/movies/no-good-deed-stars-idris-elba-as-an-escaped-felon.html","http://www.nytimes.com/2014/09/13/movies/no-good-deed-stars-idris-elba-as-an-escaped-felon.html","With less than 24 hours’ notice, Screen Gems announced that it would cancel Wednesday’s press screenings for “No Good Deed.” Officially, this unusual step was intended to help the studio protect a plot twist. This twist, it turns out, hardly warrants any fuss or curiosity."
"1520023403-3575","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2014/07/25/movies/under-the-electric-sky-a-plunge-into-a-festival-crowd.html","http://www.nytimes.com/2014/07/25/movies/under-the-electric-sky-a-plunge-into-a-festival-crowd.html","Opens on Friday"
"1520021810-582","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2014/01/10/movies/cold-comes-the-night-starring-bryan-cranston-and-alice-eve.html","http://www.nytimes.com/2014/01/10/movies/cold-comes-the-night-starring-bryan-cranston-and-alice-eve.html","The lack of surprise is by no means ruinous, but it fits for a movie that quickly comes across as if it was cooked up by film fans who binge-watched some old noirs and thrillers and wanted to see if they could make one, too. The opening image of a snow globe can’t help but suggest “Citizen Kane” (nothing else here does), while some gore-slicked bills may bring to mind “The Grifters” or another literal-minded entertainment in which blood money becomes bloodied money. When the camera then starts moving across an unsettled scene — a phone off the hook, a corpse on the ground — it feels so familiar, you may wonder if Colonel Mustard is lurking in the study."
"1520022651-2243","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2014/04/30/movies/the-m-word-about-menopause-and-money.html","http://www.nytimes.com/2014/04/30/movies/the-m-word-about-menopause-and-money.html","Expertly gliding his camera around people who love to talk and a filmmaker who loves to let them, the director of photography, Hanania Baer, works to achieve coherence. No one cares that Mr. Baer is wasting his time."
"1520023112-3021","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2014/06/20/movies/coherence-traces-a-descent-into-madness.html","http://www.nytimes.com/2014/06/20/movies/coherence-traces-a-descent-into-madness.html","At some point, though, Mr. Byrkit turns one too many corners (characters, meanwhile, begin bustling in and out of rooms like Marx Brothers extras), and what began as a nifty puzzle feels more like a trap. It may be possible to unkink this story, but when characters and performances are as unengaging as these, it’s hard to feel motivated to try. Mr. Byrkit shot the movie — which has a blurred, low-end digital look and a lot of small-screen-ready close-ups — without a script in his living room, setting the performers loose for five days of improvisation. It’s the kind of experiment that may be useful for directors and actors, but here hasn’t led to a satisfyingly realized movie."
"1520021651-148","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2013/11/29/movies/a-long-walk-for-glaciers.html","http://www.nytimes.com/2013/11/29/movies/a-long-walk-for-glaciers.html","The adventure is related partly through the eyes of Carrie Lee, an American lawyer and the sister of the film’s director, Wendy J. N. Lee, causing it to sound too often like an interloper’s travel video. And much is made of the fact that the trekkers picked up litter as they walked: more than 800 pounds. That’s a little more than a pound per person, for 450 miles of walking. Hmm."
"1520022216-1462","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2014/03/14/movies/enemy-stars-jake-gyllenhaal-twice.html","http://www.nytimes.com/2014/03/14/movies/enemy-stars-jake-gyllenhaal-twice.html","Mr. Villeneuve is for the most part less interested in solving that puzzle than exploring its implications, especially for Adam, the first guy we meet. He is a history professor who seems to lead a solitary, disciplined and less than entirely happy life. He lectures his students on Hegel and returns to the spare, high-rise apartment where he is sometimes visited by his girlfriend, Mary (Mélanie Laurent). One night, while watching a DVD, Adam spots an extra who looks exactly like him. After a bit of Internet stalking — and some of the more traditional kind — he finds his way to Anthony, who lives in a better-furnished high-rise apartment with his pregnant wife, Helen (Sarah Gadon)."
"1520021816-600","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2014/01/10/movies/gong-yoo-stars-in-the-suspect.html","http://www.nytimes.com/2014/01/10/movies/gong-yoo-stars-in-the-suspect.html","In Korean, with English subtitles"
"1520023403-3577","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2014/07/25/movies/under-the-electric-sky-a-plunge-into-a-festival-crowd.html","http://www.nytimes.com/2014/07/25/movies/under-the-electric-sky-a-plunge-into-a-festival-crowd.html","1 hour 25 minutes"
"1520022051-1135","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2014/02/10/movies/hasee-toh-phasee-complications-at-a-wedding-in-india.html","http://www.nytimes.com/2014/02/10/movies/hasee-toh-phasee-complications-at-a-wedding-in-india.html","Just days before his wedding, Nikhil finds himself in a bit of a bind: Not only does he need to prove his business savvy, and therefore worth, to his fiancée, but he also must keep her recently returned, long-estranged sister, Meeta, out of sight. It’s a recipe for failure. But in Vinil Mathew’s “Hasee Toh Phasee,” the setup is also the perfect foil to what is an imperfect union."
"1520021810-585","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2014/01/10/movies/cold-comes-the-night-starring-bryan-cranston-and-alice-eve.html","http://www.nytimes.com/2014/01/10/movies/cold-comes-the-night-starring-bryan-cranston-and-alice-eve.html","“Cold Comes the Night” is rated R (Under 17 requires accompanying parent or adult guardian). Gun violence, bloody murder and throat throttling."
"1520023911-4631","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/2520to3340url.html","http://www.nytimes.com/2014/09/19/movies/pump-argues-for-alternative-fuels.html","http://www.nytimes.com/2014/09/19/movies/pump-argues-for-alternative-fuels.html","Produced in conjunction with the nonprofit Fuel Freedom Foundation, “Pump” is less a movie than a webpage in motion. But the arguments have an appealing logic for those concerned about the environment. The film explores America’s dependence on oil, from John D. Rockefeller to the dismantling of the nation’s streetcars, and traces oil’s effects on the broader economy."
